"id","file_path","url","slug","title","meta_description","content_type","macrocluster","subcluster","category","tags","publication_date","last_updated","word_count","hub_url","pillar_url","internal_links_out","internal_links_in","orphan_status","canonical","status","intent","primary_keyword","secondary_keywords","search_console_status","optimization_status","freshness_status","duplicate_risk","cannibalization_risk","action_required","priority","notes"
"ART-0011","articles/ano-escolar-nos-eua-guia-pais-brasileiros.html","https://familiausa1.com/articles/ano-escolar-nos-eua-guia-pais-brasileiros.html","ano-escolar-nos-eua-guia-pais-brasileiros","Ano escolar nos EUA: guia para pais brasileiros","Entenda ano escolar nos EUA, série, calendário, adaptação, inglês e documentos para filhos de brasileiros.","article","familia e escola","escola e filhos","Família e filhos","","2026-05-21","2026-05-22","834","/categorias/familia-filhos.html","/articles/como-matricular-filho-na-escola-nos-eua.html","5","14","recebe links","https://familiausa1.com/articles/ano-escolar-nos-eua-guia-pais-brasileiros.html","precisa atualizar","informacional/pratica","Ano escolar nos EUA: como funciona para filhos de brasileiros","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: saude; vida pratica"
"ART-0012","articles/asilo-nos-estados-unidos-2026.html","https://familiausa1.com/articles/asilo-nos-estados-unidos-2026.html","asilo-nos-estados-unidos-2026","Asilo nos Estados Unidos em 2026: quem pode pedir e riscos | FamiliaUSA1","Entenda como funciona o asilo nos Estados Unidos em 2026, quem pode pedir, prazo de 1 ano, Form I-589, provas, riscos e motivos de negativa.","article","imigracao","Imigração e legalização","Imigração e legalização","","2026-05-31","2026-05-31","1933","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","3","5","recebe links","https://familiausa1.com/articles/asilo-nos-estados-unidos-2026.html","publicado","informacional/pratica","Asilo nos Estados Unidos 2026: quem pode pedir, como funciona e quais sã","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: asilo e processos; familia e escola"
"ART-0013","articles/asilo-nos-eua-nao-e-atalho-migratorio.html","https://familiausa1.com/articles/asilo-nos-eua-nao-e-atalho-migratorio.html","asilo-nos-eua-nao-e-atalho-migratorio","Asilo nos EUA não é atalho migratório: riscos e erros | FamiliaUSA1","Entenda por que asilo nos EUA não é atalho migratório, quais erros prejudicam brasileiros, riscos de negativa, pedido frívolo e alternativas legais.","article","imigracao","Imigração e legalização","Imigração e legalização","","2026-05-31","2026-05-31","1545","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","3","0","orfao","https://familiausa1.com/articles/asilo-nos-eua-nao-e-atalho-migratorio.html","publicado","informacional","Asilo nos EUA não é atalho migratório: riscos, negativas e erros que pod","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","alta","clusters complementares: asilo e processos; familia e escola"
"ART-0014","articles/boca-raton-ou-fort-lauderdale-onde-morar-2026.html","https://familiausa1.com/articles/boca-raton-ou-fort-lauderdale-onde-morar-2026.html","boca-raton-ou-fort-lauderdale-onde-morar-2026","Boca Raton ou Fort Lauderdale em 2026: qual cidade combina mais com sua família? | FamiliaUSA1","Comparativo Boca Raton ou Fort Lauderdale em 2026 para brasileiros: custo de vida, aluguel, escolas, família, trabalho, praia, aeroporto, carro e South Florida.","article","trabalho","Comparativo de cidades","Comparativo de cidades","","2026-06-02","2026-06-02","836","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","5","2","recebe links","https://familiausa1.com/articles/boca-raton-ou-fort-lauderdale-onde-morar-2026.html","precisa atualizar","decisao/comparativa","Boca Raton ou Fort Lauderdale 2026: qual cidade combina mais com sua fam","","nao informado","sem acao recente registrada","atual","baixo","possivel sobreposicao: miami-ou-fort-lauderdale-onde-morar-2026","avaliar diferenciacao editorial","media","clusters complementares: cidades; custo de vida"
"ART-0015","articles/brasil-x-eua-diferencas-que-pesam-na-rotina.html","https://familiausa1.com/articles/brasil-x-eua-diferencas-que-pesam-na-rotina.html","brasil-x-eua-diferencas-que-pesam-na-rotina","Brasil x EUA: diferenças que pesam na rotina | FamiliaUSA1","Entenda as diferenças entre Brasil e EUA que mais pesam na rotina, como tempo, trabalho, saúde, transporte, consumo, escola e adaptação.","article","trabalho","Vida real nos EUA","Vida real nos EUA","","2026-04-23","2026-05-22","842","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","9","5","recebe links","https://familiausa1.com/articles/brasil-x-eua-diferencas-que-pesam-na-rotina.html","precisa atualizar","informacional/pratica","Brasil x EUA: diferenças que pesam na rotina","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: familia e escola; saude"
"ART-0016","articles/brasileiros-comprando-casas-nos-eua-2026.html","https://familiausa1.com/articles/brasileiros-comprando-casas-nos-eua-2026.html","brasileiros-comprando-casas-nos-eua-2026","Brasileiros estão comprando casas nos EUA em 2026?","Brasileiros estão comprando casas nos EUA? Entenda motivos, custos, financiamento, entrada, impostos, riscos e quando comprar pode ou não valer a pena.","article","custo de vida","Morar nos EUA","Morar nos EUA","","2026-05-23","2026-05-23","1223","/categorias/custo-de-vida.html","/articles/custo-de-vida-nos-eua-2026-atualizado.html","4","0","orfao","https://familiausa1.com/articles/brasileiros-comprando-casas-nos-eua-2026.html","publicado","decisao/comparativa","Brasileiros estão comprando casas nos EUA? O que está por trás desse mov","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","alta","clusters complementares: moradia; saude"
"ART-0017","articles/choque-realidade-brasileiros-eua-antes-de-mudar.html","https://familiausa1.com/articles/choque-realidade-brasileiros-eua-antes-de-mudar.html","choque-realidade-brasileiros-eua-antes-de-mudar","O choque de realidade dos brasileiros nos EUA: o que ninguém conta antes de mudar","Morar nos EUA pode ser uma grande oportunidade, mas também traz choque de realidade: solidão, trabalho pesado, idioma, custo emocional e adaptação da família.","article","trabalho","Vida real nos EUA","Vida real nos EUA","","2026-05-27","2026-05-27","1577","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","7","1","recebe links","https://familiausa1.com/articles/choque-realidade-brasileiros-eua-antes-de-mudar.html","publicado","decisao/comparativa","O choque de realidade dos brasileiros nos EUA: o que ninguém conta antes","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: custo de vida; familia e escola"
"ART-0018","articles/cidades-da-florida-com-mais-brasileiros-2026.html","https://familiausa1.com/articles/cidades-da-florida-com-mais-brasileiros-2026.html","cidades-da-florida-com-mais-brasileiros-2026","Cidades da Flórida com mais brasileiros em 2026","Veja quais cidades da Flórida têm mais brasileiros em 2026, como Orlando, Miami, Deerfield Beach, Boca Raton, Tampa e Jacksonville.","article","cidades","cidades da Florida","Guia pilar","","2026-06-02","2026-07-10","1376","/categorias/cidades-da-florida.html","/articles/cidades-da-florida-com-mais-brasileiros-2026.html","19","4","recebe links","https://familiausa1.com/articles/cidades-da-florida-com-mais-brasileiros-2026.html","atualizado","informacional/pratica","Quais cidades da Flórida têm mais brasileiros 2026?","qual cidade da florida tem mais brasileiros; cidade da florida com mais brasileiros","8 clicks / 352 impressoes; prioridade maxima","otimizado PR #18; observar 28 dias","recente","baixo","baixo","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: orlando e viagem; saude"
"ART-0019","articles/coisas-comuns-no-brasil-que-dao-problema-nos-eua.html","https://familiausa1.com/articles/coisas-comuns-no-brasil-que-dao-problema-nos-eua.html","coisas-comuns-no-brasil-que-dao-problema-nos-eua","Coisas comuns no Brasil que dão problema nos EUA","Veja hábitos, brincadeiras e costumes comuns no Brasil que podem gerar problemas legais nos EUA para brasileiros e imigrantes.","article","saude","saude nos EUA","Adaptação cultural","","2026-05-13","2026-05-22","1524","/categorias/saude-nos-eua.html","/articles/seguro-saude-nos-eua-como-funciona-2026.html","10","1","recebe links","https://familiausa1.com/articles/coisas-comuns-no-brasil-que-dao-problema-nos-eua.html","publicado","informacional","Coisas comuns no Brasil que dão problema nos EUA","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: 5-habitos-comuns-no-brasil-problemas-eua","avaliar diferenciacao editorial","baixa","clusters complementares: vida pratica"
"ART-0020","articles/como-abrir-conta-em-banco-nos-eua.html","https://familiausa1.com/articles/como-abrir-conta-em-banco-nos-eua.html","como-abrir-conta-em-banco-nos-eua","Como abrir conta em banco nos EUA sendo brasileiro","Veja como abrir conta em banco nos EUA, documentos comuns, conta checking, savings, cartão de débito, taxas e cuidados.","article","banco e credito","Banco nos EUA","Banco nos EUA","","2026-05-13","2026-05-22","969","/categorias/banco-credito.html","/articles/como-abrir-conta-em-banco-nos-eua.html","7","6","recebe links","https://familiausa1.com/articles/como-abrir-conta-em-banco-nos-eua.html","publicado","informacional/pratica","Como abrir conta em banco nos EUA sendo brasileiro","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa",""
"ART-0021","articles/como-alugar-casa-nos-eua-sendo-brasileiro-sem-historico-de-credito.html","https://familiausa1.com/articles/como-alugar-casa-nos-eua-sendo-brasileiro-sem-historico-de-credito.html","como-alugar-casa-nos-eua-sendo-brasileiro-sem-historico-de-credito","Como alugar casa nos EUA sendo brasileiro em 2026 | FamiliaUSA1","Veja como alugar casa nos EUA sendo brasileiro em 2026, mesmo sem crédito, com depósito maior, aluguel direto e cuidados contra golpes.","article","custo de vida","Moradia nos EUA","Moradia nos EUA","","2026-04-24","2026-05-22","891","/categorias/custo-de-vida.html","/articles/custo-de-vida-nos-eua-2026-atualizado.html","7","7","recebe links","https://familiausa1.com/articles/como-alugar-casa-nos-eua-sendo-brasileiro-sem-historico-de-credito.html","precisa atualizar","informacional/pratica","Como alugar casa nos EUA sendo brasileiro (sem histórico de crédito)","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: moradia; familia e escola"
"ART-0022","articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","https://familiausa1.com/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026","Como conseguir trabalho nos EUA sendo brasileiro em 2026 | FamiliaUSA1","Aprenda como conseguir trabalho nos EUA sendo brasileiro em 2026, com vagas comuns, indicação, inglês e faixa real de ganhos.","article","trabalho","Trabalho nos EUA","Trabalho nos EUA","","2026-04-24","2026-05-22","910","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","7","13","recebe links","https://familiausa1.com/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","publicado","informacional/pratica","Como conseguir trabalho nos EUA sendo brasileiro (Guia 2026)","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: familia e escola"
"ART-0023","articles/como-e-trabalhar-nos-eua-rotina-salario-diferencas-2026.html","https://familiausa1.com/articles/como-e-trabalhar-nos-eua-rotina-salario-diferencas-2026.html","como-e-trabalhar-nos-eua-rotina-salario-diferencas-2026","Como é trabalhar nos EUA em 2026: rotina, salário e diferenças","Como é trabalhar nos EUA em 2026? Veja rotina, salários por faixa, diferenças com o Brasil, impostos, benefícios, direitos e cuidados para brasileiros.","article","trabalho","Trabalho nos EUA","Trabalho nos EUA","","2026-05-23","2026-05-23","1196","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","4","2","recebe links","https://familiausa1.com/articles/como-e-trabalhar-nos-eua-rotina-salario-diferencas-2026.html","publicado","investigativa/comparativa","Como é trabalhar nos EUA 2026: rotina, salário e diferenças com o Brasil","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: saude"
"ART-0024","articles/como-economizar-em-orlando-sem-passar-vontade-2026.html","https://familiausa1.com/articles/como-economizar-em-orlando-sem-passar-vontade-2026.html","como-economizar-em-orlando-sem-passar-vontade-2026","Como economizar em Orlando em 2026 sem passar vontade","Veja como economizar em Orlando em 2026 sem estragar a viagem: parques, alimentação, hotel, carro, compras, outlets e planejamento familiar.","article","cidades","cidades da Florida","Artigos","","2026-05-24","2026-05-24","1080","/categorias/cidades-da-florida.html","/articles/cidades-da-florida-com-mais-brasileiros-2026.html","6","1","recebe links","https://familiausa1.com/articles/como-economizar-em-orlando-sem-passar-vontade-2026.html","publicado","informacional/pratica","Como economizar em Orlando 2026 sem passar vontade","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: custo de vida; compras"
"ART-0025","articles/como-escolher-uma-cidade-para-morar-nos-eua.html","https://familiausa1.com/articles/como-escolher-uma-cidade-para-morar-nos-eua.html","como-escolher-uma-cidade-para-morar-nos-eua","Como escolher uma cidade para morar nos EUA | FamiliaUSA1","Aprenda como escolher uma cidade para morar nos EUA com critérios sobre custo de vida, trabalho, escola, clima, transporte, saúde e rede de apoio.","article","trabalho","Planejamento","Planejamento","","2026-04-23","2026-05-22","870","/categorias/trabalho-renda.html","/articles/como-conseguir-trabalho-nos-eua-sendo-brasileiro-guia-2026.html","8","16","recebe links","https://familiausa1.com/articles/como-escolher-uma-cidade-para-morar-nos-eua.html","precisa atualizar","informacional/pratica","Como escolher uma cidade para morar nos EUA","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: custo de vida; familia e escola"
"ART-0026","articles/como-funciona-o-credito-nos-eua.html","https://familiausa1.com/articles/como-funciona-o-credito-nos-eua.html","como-funciona-o-credito-nos-eua","Como funciona o crédito nos EUA para brasileiros","Entenda como funciona o crédito nos EUA, score, cartão secured, histórico, aluguel, financiamento e erros comuns.","article","banco e credito","Crédito nos EUA","Crédito nos EUA","","2026-05-06","2026-05-22","886","/categorias/banco-credito.html","/articles/como-abrir-conta-em-banco-nos-eua.html","8","7","recebe links","https://familiausa1.com/articles/como-funciona-o-credito-nos-eua.html","precisa atualizar","informacional/pratica","Como funciona o crédito nos EUA para brasileiros","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: moradia; saude"
"ART-0027","articles/como-matricular-filho-na-escola-nos-eua.html","https://familiausa1.com/articles/como-matricular-filho-na-escola-nos-eua.html","como-matricular-filho-na-escola-nos-eua","Como matricular filho na escola nos EUA: documentos","Veja como matricular filho na escola nos EUA, quais documentos separar, como funcionam série, vacinação, inglês e adaptação escolar.","article","familia e escola","escola e filhos","Família e filhos","","2026-05-13","2026-07-10","975","/categorias/familia-filhos.html","/articles/como-matricular-filho-na-escola-nos-eua.html","7","29","recebe links","https://familiausa1.com/articles/como-matricular-filho-na-escola-nos-eua.html","atualizado","informacional/pratica","Como matricular filho na escola nos EUA: documentos e primeiros passos","como matricular filho na escola nos eua","0 clicks / 73 impressoes; prioridade alta","otimizado PR #18; observar 28 dias","recente","baixo","baixo","monitorar Search Console antes de nova alteracao","alta - observar GSC","clusters complementares: saude; vida pratica"
"ART-0028","articles/como-preencher-ds-160-passo-a-passo-2026.html","https://familiausa1.com/articles/como-preencher-ds-160-passo-a-passo-2026.html","como-preencher-ds-160-passo-a-passo-2026","Como preencher o DS-160 passo a passo em 2026","Aprenda como preencher o DS-160 em 2026: dados, viagem, trabalho, família, erros comuns e cuidados antes de enviar.","article","vistos","Visto americano","Visto americano","","2026-05-19","2026-05-22","1265","/categorias/visto-americano.html","/articles/guia-completo-visto-americano-2026.html","9","12","recebe links","https://familiausa1.com/articles/como-preencher-ds-160-passo-a-passo-2026.html","publicado","informacional/pratica","Como preencher o DS-160 passo a passo 2026 sem errar","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","manter e fortalecer links internos","baixa","clusters complementares: trabalho; orlando e viagem"
"ART-0029","articles/como-renovar-visto-americano-2026.html","https://familiausa1.com/articles/como-renovar-visto-americano-2026.html","como-renovar-visto-americano-2026","Como renovar o visto americano em 2026","Veja como renovar o visto americano em 2026, documentos, DS-160, taxa, dispensa de entrevista e cuidados contra promessas falsas.","article","vistos","Visto americano","Visto americano","","2026-05-19","2026-05-22","840","/categorias/visto-americano.html","/articles/guia-completo-visto-americano-2026.html","9","12","recebe links","https://familiausa1.com/articles/como-renovar-visto-americano-2026.html","precisa atualizar","informacional/pratica","Como renovar o visto americano 2026: passo a passo, documentos e quem po","","nao informado","sem acao recente registrada","revisar freshness","baixo","possivel sobreposicao: guia-completo-visto-americano-2026","avaliar diferenciacao editorial","media","clusters complementares: saude"
"ART-0030","articles/como-saber-se-um-advogado-de-imigracao-e-confiavel-nos-eua.html","https://familiausa1.com/articles/como-saber-se-um-advogado-de-imigracao-e-confiavel-nos-eua.html","como-saber-se-um-advogado-de-imigracao-e-confiavel-nos-eua","Advogado de imigração confiável nos EUA","Veja como saber se um advogado de imigração é confiável nos EUA e o que brasileiros nos EUA devem verificar antes de contratar ajuda legal.","article","imigracao","Advogado imigração","Advogado imigração","","2026-04-24","2026-05-22","836","/categorias/imigracao-legalizacao.html","/articles/morar-legalmente-nos-eua-caminhos-possiveis-2026.html","7","5","recebe links","https://familiausa1.com/articles/como-saber-se-um-advogado-de-imigracao-e-confiavel-nos-eua.html","precisa atualizar","informacional/pratica","Como saber se um advogado de imigração é confiável nos EUA","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media","clusters complementares: saude"
"ART-0031","articles/como-tirar-carteira-de-motorista-nos-eua-passo-a-passo.html","https://familiausa1.com/articles/como-tirar-carteira-de-motorista-nos-eua-passo-a-passo.html","como-tirar-carteira-de-motorista-nos-eua-passo-a-passo","Como tirar carteira de motorista nos EUA em 2026 | FamiliaUSA1","Veja comnao tirar carteira de motorista nos EUA em 2026, com manual, prova teórica, prova prática e documentos necessários.","article","familia e escola","familia","Documentos nos EUA","","2026-04-24","2026-05-22","864","/categorias/familia-filhos.html","/articles/como-matricular-filho-na-escola-nos-eua.html","7","4","recebe links","https://familiausa1.com/articles/como-tirar-carteira-de-motorista-nos-eua-passo-a-passo.html","precisa atualizar","informacional/pratica","Como tirar carteira de motorista nos EUA (passo a passo)","","nao informado","sem acao recente registrada","revisar freshness","baixo","baixo","expandir ou atualizar","media",""
